360 180
0.50000 89.50000 -4.18081e+03
1.50000 89.50000 -4.18227e+03
2.50000 89.50000 -4.18499e+03
3.50000 89.50000 -4.18489e+03
4.50000 89.50000 -4.18301e+03
5.50000 89.50000 -4.17517e+03
6.50000 89.50000 -4.17064e+03
7.50000 89.50000 -4.16223e+03
8.50000 89.50000 -4.15944e+03
9.50000 89.50000 -4.15459e+03
10.50000 89.50000 -4.15337e+03
11.50000 89.50000 -4.15145e+03
12.50000 89.50000 -4.15093e+03
13.50000 89.50000 -4.14986e+03
14.50000 89.50000 -4.15036e+03
15.50000 89.50000 -4.15127e+03
16.50000 89.50000 -4.15280e+03
17.50000 89.50000 -4.15722e+03
18.50000 89.50000 -4.16188e+03
19.50000 89.50000 -4.17080e+03
20.50000 89.50000 -4.17664e+03
21.50000 89.50000 -4.18923e+03
22.50000 89.50000 -4.19421e+03
23.50000 89.50000 -4.20113e+03
24.50000 89.50000 -4.21133e+03
25.50000 89.50000 -4.21560e+03
26.50000 89.50000 -4.22087e+03
27.50000 89.50000 -4.22309e+03
28.50000 89.50000 -4.22532e+03
29.50000 89.50000 -4.22724e+03
30.50000 89.50000 -4.22749e+03
31.50000 89.50000 -4.22739e+03
32.50000 89.50000 -4.22849e+03
33.50000 89.50000 -4.22851e+03
34.50000 89.50000 -4.22844e+03
35.50000 89.50000 -4.22844e+03
36.50000 89.50000 -4.22844e+03
37.50000 89.50000 -4.22842e+03
38.50000 89.50000 -4.22901e+03
39.50000 89.50000 -4.22929e+03
40.50000 89.50000 -4.22860e+03
41.50000 89.50000 -4.22951e+03
42.50000 89.50000 -4.23029e+03
43.50000 89.50000 -4.23149e+03
44.50000 89.50000 -4.23194e+03
45.50000 89.50000 -4.23400e+03
46.50000 89.50000 -4.23517e+03
47.50000 89.50000 -4.23761e+03
48.50000 89.50000 -4.23778e+03
49.50000 89.50000 -4.23896e+03
50.50000 89.50000 -4.24135e+03
51.50000 89.50000 -4.24331e+03
52.50000 89.50000 -4.24754e+03
53.50000 89.50000 -4.24935e+03
54.50000 89.50000 -4.25095e+03
55.50000 89.50000 -4.25091e+03
56.50000 89.50000 -4.25071e+03
57.50000 89.50000 -4.24976e+03
58.50000 89.50000 -4.24869e+03
59.50000 89.50000 -4.24629e+03
60.50000 89.50000 -4.24547e+03
61.50000 89.50000 -4.24443e+03
62.50000 89.50000 -4.24209e+03
63.50000 89.50000 -4.24137e+03
64.50000 89.50000 -4.23968e+03
65.50000 89.50000 -4.23944e+03
66.50000 89.50000 -4.23937e+03
67.50000 89.50000 -4.24014e+03
68.50000 89.50000 -4.24146e+03
69.50000 89.50000 -4.24339e+03
70.50000 89.50000 -4.24429e+03
71.50000 89.50000 -4.24683e+03
72.50000 89.50000 -4.24738e+03
73.50000 89.50000 -4.24594e+03
74.50000 89.50000 -4.24400e+03
75.50000 89.50000 -4.24202e+03
76.50000 89.50000 -4.23644e+03
77.50000 89.50000 -4.23595e+03
78.50000 89.50000 -4.23625e+03
79.50000 89.50000 -4.24154e+03
80.50000 89.50000 -4.24700e+03
81.50000 89.50000 -4.25814e+03
82.50000 89.50000 -4.26281e+03
83.50000 89.50000 -4.26552e+03
84.50000 89.50000 -4.26573e+03
85.50000 89.50000 -4.25996e+03
86.50000 89.50000 -4.25659e+03
87.50000 89.50000 -4.25338e+03
88.50000 89.50000 -4.24374e+03
89.50000 89.50000 -4.23988e+03
90.50000 89.50000 -4.23295e+03
91.50000 89.50000 -4.23029e+03
92.50000 89.50000 -4.22645e+03
93.50000 89.50000 -4.22614e+03
94.50000 89.50000 -4.22514e+03
95.50000 89.50000 -4.22222e+03
96.50000 89.50000 -4.22223e+03
97.50000 89.50000 -4.22210e+03
98.50000 89.50000 -4.22103e+03
99.50000 89.50000 -4.22078e+03
100.50000 89.50000 -4.21993e+03
101.50000 89.50000 -4.21993e+03
102.50000 89.50000 -4.22005e+03
103.50000 89.50000 -4.22005e+03
104.50000 89.50000 -4.21955e+03
105.50000 89.50000 -4.21863e+03
106.50000 89.50000 -4.21863e+03
107.50000 89.50000 -4.21863e+03
108.50000 89.50000 -4.21863e+03
109.50000 89.50000 -4.21841e+03
110.50000 89.50000 -4.21841e+03
111.50000 89.50000 -4.21824e+03
112.50000 89.50000 -4.21729e+03
113.50000 89.50000 -4.21606e+03
114.50000 89.50000 -4.21198e+03
115.50000 89.50000 -4.20992e+03
116.50000 89.50000 -4.20761e+03
117.50000 89.50000 -4.20581e+03
118.50000 89.50000 -4.20353e+03
119.50000 89.50000 -4.20253e+03
120.50000 89.50000 -4.20175e+03
121.50000 89.50000 -4.19997e+03
122.50000 89.50000 -4.19995e+03
123.50000 89.50000 -4.20005e+03
124.50000 89.50000 -4.20007e+03
125.50000 89.50000 -4.20007e+03
126.50000 89.50000 -4.20029e+03
127.50000 89.50000 -4.20029e+03
128.50000 89.50000 -4.20161e+03
129.50000 89.50000 -4.20161e+03
130.50000 89.50000 -4.20166e+03
131.50000 89.50000 -4.20089e+03
132.50000 89.50000 -4.19957e+03
133.50000 89.50000 -4.19913e+03
134.50000 89.50000 -4.20038e+03
135.50000 89.50000 -4.20508e+03
136.50000 89.50000 -4.20979e+03
137.50000 89.50000 -4.21968e+03
138.50000 89.50000 -4.22387e+03
139.50000 89.50000 -4.22827e+03
140.50000 89.50000 -4.23148e+03
141.50000 89.50000 -4.23225e+03
142.50000 89.50000 -4.22488e+03
143.50000 89.50000 -4.22032e+03
144.50000 89.50000 -4.20759e+03
145.50000 89.50000 -4.20143e+03
146.50000 89.50000 -4.19594e+03
147.50000 89.50000 -4.18961e+03
148.50000 89.50000 -4.18746e+03
149.50000 89.50000 -4.18777e+03
150.50000 89.50000 -4.18700e+03
151.50000 89.50000 -4.18429e+03
152.50000 89.50000 -4.18900e+03
153.50000 89.50000 -4.19709e+03
154.50000 89.50000 -4.22797e+03
155.50000 89.50000 -4.25028e+03
156.50000 89.50000 -4.25087e+03
157.50000 89.50000 -4.24484e+03
158.50000 89.50000 -4.24323e+03
159.50000 89.50000 -4.24190e+03
160.50000 89.50000 -4.24163e+03
161.50000 89.50000 -4.23836e+03
162.50000 89.50000 -4.23523e+03
163.50000 89.50000 -4.22648e+03
164.50000 89.50000 -4.22299e+03
165.50000 89.50000 -4.21824e+03
166.50000 89.50000 -4.20618e+03
167.50000 89.50000 -4.20077e+03
168.50000 89.50000 -4.19065e+03
169.50000 89.50000 -4.19152e+03
170.50000 89.50000 -4.19146e+03
171.50000 89.50000 -4.19498e+03
172.50000 89.50000 -4.19777e+03
173.50000 89.50000 -4.18262e+03
174.50000 89.50000 -4.17321e+03
175.50000 89.50000 -4.15912e+03
176.50000 89.50000 -4.15927e+03
177.50000 89.50000 -4.16844e+03
178.50000 89.50000 -4.18355e+03
179.50000 89.50000 -4.18997e+03
180.50000 89.50000 -4.13887e+03
181.50000 89.50000 -4.07753e+03
182.50000 89.50000 -3.90034e+03
183.50000 89.50000 -3.79463e+03
184.50000 89.50000 -3.75666e+03
185.50000 89.50000 -3.82747e+03
186.50000 89.50000 -3.86214e+03
187.50000 89.50000 -3.94190e+03
188.50000 89.50000 -3.97248e+03
189.50000 89.50000 -4.04128e+03
190.50000 89.50000 -4.04256e+03
191.50000 89.50000 -4.04840e+03
192.50000 89.50000 -4.06168e+03
193.50000 89.50000 -4.07120e+03
194.50000 89.50000 -4.08937e+03
195.50000 89.50000 -4.09886e+03
196.50000 89.50000 -4.10829e+03
197.50000 89.50000 -4.12358e+03
198.50000 89.50000 -4.12076e+03
199.50000 89.50000 -4.09856e+03
200.50000 89.50000 -4.07450e+03
201.50000 89.50000 -4.03094e+03
202.50000 89.50000 -4.01983e+03
203.50000 89.50000 -4.00943e+03
204.50000 89.50000 -4.02933e+03
205.50000 89.50000 -4.04546e+03
206.50000 89.50000 -4.01020e+03
207.50000 89.50000 -3.97620e+03
208.50000 89.50000 -3.90217e+03
209.50000 89.50000 -3.87191e+03
210.50000 89.50000 -3.85372e+03
211.50000 89.50000 -3.85388e+03
212.50000 89.50000 -3.85889e+03
213.50000 89.50000 -3.84851e+03
214.50000 89.50000 -3.81477e+03
215.50000 89.50000 -3.76131e+03
216.50000 89.50000 -3.52407e+03
217.50000 89.50000 -3.39427e+03
218.50000 89.50000 -3.11451e+03
219.50000 89.50000 -3.02318e+03
220.50000 89.50000 -3.07593e+03
221.50000 89.50000 -3.24545e+03
222.50000 89.50000 -3.41309e+03
223.50000 89.50000 -3.60133e+03
224.50000 89.50000 -3.58111e+03
225.50000 89.50000 -3.32689e+03
226.50000 89.50000 -3.18183e+03
227.50000 89.50000 -2.79493e+03
228.50000 89.50000 -2.67913e+03
229.50000 89.50000 -2.58479e+03
230.50000 89.50000 -2.51744e+03
231.50000 89.50000 -2.51925e+03
232.50000 89.50000 -2.57444e+03
233.50000 89.50000 -2.59353e+03
234.50000 89.50000 -2.59167e+03
235.50000 89.50000 -2.60096e+03
236.50000 89.50000 -2.61264e+03
237.50000 89.50000 -2.62030e+03
238.50000 89.50000 -2.61898e+03
239.50000 89.50000 -2.60296e+03
240.50000 89.50000 -2.58684e+03
241.50000 89.50000 -2.58059e+03
242.50000 89.50000 -2.61884e+03
243.50000 89.50000 -2.58993e+03
244.50000 89.50000 -2.56818e+03
245.50000 89.50000 -2.57400e+03
246.50000 89.50000 -2.62188e+03
247.50000 89.50000 -2.64137e+03
248.50000 89.50000 -2.66012e+03
