360 180
5.0000E-01 8.9500E+01 -4.18428E+03
1.5000E+00 8.9500E+01 -4.18574E+03
2.5000E+00 8.9500E+01 -4.18846E+03
3.5000E+00 8.9500E+01 -4.18836E+03
4.5000E+00 8.9500E+01 -4.18648E+03
5.5000E+00 8.9500E+01 -4.17864E+03
6.5000E+00 8.9500E+01 -4.17411E+03
7.5000E+00 8.9500E+01 -4.16570E+03
8.5000E+00 8.9500E+01 -4.16291E+03
9.5000E+00 8.9500E+01 -4.15806E+03
1.0500E+01 8.9500E+01 -4.15684E+03
1.1500E+01 8.9500E+01 -4.15492E+03
1.2500E+01 8.9500E+01 -4.15440E+03
1.3500E+01 8.9500E+01 -4.15333E+03
1.4500E+01 8.9500E+01 -4.15383E+03
1.5500E+01 8.9500E+01 -4.15474E+03
1.6500E+01 8.9500E+01 -4.15627E+03
1.7500E+01 8.9500E+01 -4.16069E+03
1.8500E+01 8.9500E+01 -4.16535E+03
1.9500E+01 8.9500E+01 -4.17427E+03
2.0500E+01 8.9500E+01 -4.18011E+03
2.1500E+01 8.9500E+01 -4.19270E+03
2.2500E+01 8.9500E+01 -4.19768E+03
2.3500E+01 8.9500E+01 -4.20460E+03
2.4500E+01 8.9500E+01 -4.21480E+03
2.5500E+01 8.9500E+01 -4.21907E+03
2.6500E+01 8.9500E+01 -4.22434E+03
2.7500E+01 8.9500E+01 -4.22656E+03
2.8500E+01 8.9500E+01 -4.22879E+03
2.9500E+01 8.9500E+01 -4.23071E+03
3.0500E+01 8.9500E+01 -4.23096E+03
3.1500E+01 8.9500E+01 -4.23086E+03
3.2500E+01 8.9500E+01 -4.23196E+03
3.3500E+01 8.9500E+01 -4.23198E+03
3.4500E+01 8.9500E+01 -4.23191E+03
3.5500E+01 8.9500E+01 -4.23191E+03
3.6500E+01 8.9500E+01 -4.23191E+03
3.7500E+01 8.9500E+01 -4.23189E+03
3.8500E+01 8.9500E+01 -4.23248E+03
3.9500E+01 8.9500E+01 -4.23276E+03
4.0500E+01 8.9500E+01 -4.23207E+03
4.1500E+01 8.9500E+01 -4.23298E+03
4.2500E+01 8.9500E+01 -4.23376E+03
4.3500E+01 8.9500E+01 -4.23496E+03
4.4500E+01 8.9500E+01 -4.23541E+03
4.5500E+01 8.9500E+01 -4.23747E+03
4.6500E+01 8.9500E+01 -4.23864E+03
4.7500E+01 8.9500E+01 -4.24108E+03
4.8500E+01 8.9500E+01 -4.24125E+03
4.9500E+01 8.9500E+01 -4.24243E+03
5.0500E+01 8.9500E+01 -4.24482E+03
5.1500E+01 8.9500E+01 -4.24678E+03
