epoch: 0, ocean area: 0.710466
epoch: 1, ocean area: 0.707562
epoch: 2, ocean area: 0.701344
epoch: 3, ocean area: 0.697401
epoch: 4, ocean area: 0.691808
epoch: 5, ocean area: 0.684954
epoch: 6, ocean area: 0.682402
epoch: 7, ocean area: 0.682350
epoch: 8, ocean area: 0.683138
epoch: 9, ocean area: 0.684280
epoch: 10, ocean area: 0.685799
epoch: 11, ocean area: 0.688442
epoch: 12, ocean area: 0.687119
epoch: 13, ocean area: 0.685626
epoch: 14, ocean area: 0.683987
epoch: 15, ocean area: 0.682186
epoch: 16, ocean area: 0.681384
epoch: 17, ocean area: 0.681176
epoch: 18, ocean area: 0.680891
epoch: 19, ocean area: 0.681531
epoch: 20, ocean area: 0.685186
epoch: 21, ocean area: 0.688599
epoch: 22, ocean area: 0.686691
epoch: 23, ocean area: 0.683994
epoch: 24, ocean area: 0.682013
epoch: 25, ocean area: 0.678830
epoch: 26, ocean area: 0.674178
epoch: 27, ocean area: 0.669709
epoch: 28, ocean area: 0.667274
epoch: 29, ocean area: 0.667031
epoch: 30, ocean area: 0.667677
epoch: 31, ocean area: 0.669655
epoch: 32, ocean area: 0.671220
epoch: 33, ocean area: 0.672209
epoch: 34, ocean area: 0.672389
epoch: 35, ocean area: 0.672060
epoch: 36, ocean area: 0.670920
epoch: 37, ocean area: 0.670446
epoch: 38, ocean area: 0.670059
epoch: 39, ocean area: 0.669454
epoch: 40, ocean area: 0.668803
epoch: 41, ocean area: 0.667967
epoch: 42, ocean area: 0.667256
epoch: 43, ocean area: 0.667160
epoch: 44, ocean area: 0.668233
epoch: 45, ocean area: 0.669093
epoch: 46, ocean area: 0.669365
epoch: 47, ocean area: 0.669476
epoch: 48, ocean area: 0.666407
epoch: 49, ocean area: 0.662453
epoch: 50, ocean area: 0.659383
epoch: 51, ocean area: 0.658402
epoch: 52, ocean area: 0.659584
epoch: 53, ocean area: 0.659771
epoch: 54, ocean area: 0.659876
epoch: 55, ocean area: 0.659842
epoch: 56, ocean area: 0.660355
epoch: 57, ocean area: 0.660429
epoch: 58, ocean area: 0.660634
epoch: 59, ocean area: 0.660817
epoch: 60, ocean area: 0.661147
epoch: 61, ocean area: 0.661403
epoch: 62, ocean area: 0.662244
epoch: 63, ocean area: 0.663176
epoch: 64, ocean area: 0.663742
epoch: 65, ocean area: 0.664030
epoch: 66, ocean area: 0.665190
epoch: 67, ocean area: 0.665697
epoch: 68, ocean area: 0.667177
epoch: 69, ocean area: 0.667733
epoch: 70, ocean area: 0.668305
epoch: 71, ocean area: 0.671710
epoch: 72, ocean area: 0.675780
epoch: 73, ocean area: 0.676606
epoch: 74, ocean area: 0.677803
epoch: 75, ocean area: 0.678910
epoch: 76, ocean area: 0.680505
epoch: 77, ocean area: 0.681398
epoch: 78, ocean area: 0.683288
epoch: 79, ocean area: 0.684062
epoch: 80, ocean area: 0.685185
epoch: 81, ocean area: 0.686102
epoch: 82, ocean area: 0.687259
epoch: 83, ocean area: 0.690308
epoch: 84, ocean area: 0.694190
epoch: 85, ocean area: 0.695207
epoch: 86, ocean area: 0.696339
epoch: 87, ocean area: 0.697770
epoch: 88, ocean area: 0.699743
epoch: 89, ocean area: 0.700762
epoch: 90, ocean area: 0.702392
epoch: 91, ocean area: 0.703799
epoch: 92, ocean area: 0.705478
epoch: 93, ocean area: 0.706835
epoch: 94, ocean area: 0.709192
epoch: 95, ocean area: 0.710271
epoch: 96, ocean area: 0.711621
epoch: 97, ocean area: 0.713616
epoch: 98, ocean area: 0.713952
epoch: 99, ocean area: 0.714342
epoch: 100, ocean area: 0.714166
epoch: 101, ocean area: 0.713680
epoch: 102, ocean area: 0.713419
epoch: 103, ocean area: 0.713185
epoch: 104, ocean area: 0.713302
epoch: 105, ocean area: 0.713316
epoch: 106, ocean area: 0.713217
epoch: 107, ocean area: 0.713230
epoch: 108, ocean area: 0.713174
epoch: 109, ocean area: 0.713066
epoch: 110, ocean area: 0.712971
epoch: 111, ocean area: 0.712865
epoch: 112, ocean area: 0.712791
epoch: 113, ocean area: 0.712739
epoch: 114, ocean area: 0.712696
epoch: 115, ocean area: 0.712674
epoch: 116, ocean area: 0.712616
epoch: 117, ocean area: 0.712570
epoch: 118, ocean area: 0.712447
epoch: 119, ocean area: 0.712367
epoch: 120, ocean area: 0.712255
epoch: 121, ocean area: 0.712090
