epoch: 0, ocean area: 0.710211
epoch: 1, ocean area: 0.707354
epoch: 2, ocean area: 0.701189
epoch: 3, ocean area: 0.697284
epoch: 4, ocean area: 0.691787
epoch: 5, ocean area: 0.684870
epoch: 6, ocean area: 0.682364
epoch: 7, ocean area: 0.682265
epoch: 8, ocean area: 0.683046
epoch: 9, ocean area: 0.684251
epoch: 10, ocean area: 0.685731
epoch: 11, ocean area: 0.688333
epoch: 12, ocean area: 0.687076
epoch: 13, ocean area: 0.685536
epoch: 14, ocean area: 0.683936
epoch: 15, ocean area: 0.682097
epoch: 16, ocean area: 0.681295
epoch: 17, ocean area: 0.681078
epoch: 18, ocean area: 0.680823
epoch: 19, ocean area: 0.681405
epoch: 20, ocean area: 0.685120
epoch: 21, ocean area: 0.688516
epoch: 22, ocean area: 0.686503
epoch: 23, ocean area: 0.683917
epoch: 24, ocean area: 0.681848
epoch: 25, ocean area: 0.678731
epoch: 26, ocean area: 0.674135
epoch: 27, ocean area: 0.669661
epoch: 28, ocean area: 0.667219
epoch: 29, ocean area: 0.666910
epoch: 30, ocean area: 0.667570
epoch: 31, ocean area: 0.669451
epoch: 32, ocean area: 0.671084
epoch: 33, ocean area: 0.672173
epoch: 34, ocean area: 0.672282
epoch: 35, ocean area: 0.672072
epoch: 36, ocean area: 0.670914
epoch: 37, ocean area: 0.670408
epoch: 38, ocean area: 0.669992
epoch: 39, ocean area: 0.669331
epoch: 40, ocean area: 0.668688
epoch: 41, ocean area: 0.667920
epoch: 42, ocean area: 0.667198
epoch: 43, ocean area: 0.667039
epoch: 44, ocean area: 0.668118
epoch: 45, ocean area: 0.669006
epoch: 46, ocean area: 0.669215
epoch: 47, ocean area: 0.669278
epoch: 48, ocean area: 0.666239
epoch: 49, ocean area: 0.662361
epoch: 50, ocean area: 0.659322
epoch: 51, ocean area: 0.658300
epoch: 52, ocean area: 0.659462
epoch: 53, ocean area: 0.659661
epoch: 54, ocean area: 0.659892
epoch: 55, ocean area: 0.659793
epoch: 56, ocean area: 0.660262
epoch: 57, ocean area: 0.660374
epoch: 58, ocean area: 0.660500
epoch: 59, ocean area: 0.660671
epoch: 60, ocean area: 0.661114
epoch: 61, ocean area: 0.661252
epoch: 62, ocean area: 0.662284
epoch: 63, ocean area: 0.663123
epoch: 64, ocean area: 0.663624
epoch: 65, ocean area: 0.663912
epoch: 66, ocean area: 0.665065
epoch: 67, ocean area: 0.665591
epoch: 68, ocean area: 0.667088
epoch: 69, ocean area: 0.667594
epoch: 70, ocean area: 0.668321
epoch: 71, ocean area: 0.671701
epoch: 72, ocean area: 0.675840
epoch: 73, ocean area: 0.676601
epoch: 74, ocean area: 0.677925
epoch: 75, ocean area: 0.678940
epoch: 76, ocean area: 0.680446
epoch: 77, ocean area: 0.681490
epoch: 78, ocean area: 0.683349
epoch: 79, ocean area: 0.684060
epoch: 80, ocean area: 0.685195
epoch: 81, ocean area: 0.686266
epoch: 82, ocean area: 0.687306
epoch: 83, ocean area: 0.690272
epoch: 84, ocean area: 0.694332
epoch: 85, ocean area: 0.695305
epoch: 86, ocean area: 0.696333
epoch: 87, ocean area: 0.697810
epoch: 88, ocean area: 0.699792
epoch: 89, ocean area: 0.700911
epoch: 90, ocean area: 0.702450
epoch: 91, ocean area: 0.703869
epoch: 92, ocean area: 0.705524
epoch: 93, ocean area: 0.707077
epoch: 94, ocean area: 0.709368
epoch: 95, ocean area: 0.710387
epoch: 96, ocean area: 0.711771
epoch: 97, ocean area: 0.713620
epoch: 98, ocean area: 0.714139
epoch: 99, ocean area: 0.714437
epoch: 100, ocean area: 0.714241
epoch: 101, ocean area: 0.713924
epoch: 102, ocean area: 0.713518
epoch: 103, ocean area: 0.713361
epoch: 104, ocean area: 0.713316
epoch: 105, ocean area: 0.713295
epoch: 106, ocean area: 0.713311
epoch: 107, ocean area: 0.713260
epoch: 108, ocean area: 0.713231
epoch: 109, ocean area: 0.713145
epoch: 110, ocean area: 0.712971
epoch: 111, ocean area: 0.712923
epoch: 112, ocean area: 0.712866
epoch: 113, ocean area: 0.712719
epoch: 114, ocean area: 0.712688
epoch: 115, ocean area: 0.712671
epoch: 116, ocean area: 0.712639
epoch: 117, ocean area: 0.712579
epoch: 118, ocean area: 0.712455
epoch: 119, ocean area: 0.712363
epoch: 120, ocean area: 0.712255
epoch: 121, ocean area: 0.712090
